Category of Evil AI - maybe try to group by 5 decided categories - Shiv - 03/29/26,Reviewer Name,"Criminal AI (These are designed for harm) VS Controversial institutional AI (These are not designed to harm, but critics say they can cause harm or rights violations)",AI Tool Name,Category of Evil AI - maybe try to group by 5 decided categories,Tool Website URL - Could be a concern since some are solely on the dark web? (If applicable,Developer or Company - often unknown - adding an llc or inc or org name isn't helpful without developers or parent companies,Public Tagline or Claim - If applicable - may overlap with stated use case,Stated Use Case,Target Victim,Primary Output,Harm Category,"Gate 1 Met? = Intentionally designed, marketed, or deployed for harm (Y/N)","Gate 2 Met? = Harm is the product, not a side effect (Y/N)",Gate 3 Met? = Evidence strong enough for near universal consensus (Y/N),Exclusion 1 Triggered? = Accidental harm only (Y/N),Exclusion 2 Triggered? = Dual use with unclear intent (Y/N),"Exclusion 3 Triggered? = Grey zone only, not explicitly exploitative and documented (Y/N)",Include in Repo? = Y only if Gates 1 to 3 are Y and Exclusions 1 to 3 are N,1 Sentence Evidence Summary,"Evidence Links - Try to collect more than 1, more validation + credibility"
4A,Shivansh Sahni,Criminal AI,HONESTCUE,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Threat actor unknown,No public tagline found,Generate second-stage downloader and launcher code through Gemini API calls,Compromised systems and organizations,Dynamically generated malware staging code,Malware staging and execution,Y,Y,Y,N,N,N,Y,GTIG reported HONESTCUE as new AI-integrated malware that uses Gemini to generate code for follow-on compromise stages.,https://cloud.google.com/blog/products/identity-security/cloud-ciso-perspectives-new-ai-threats-report-distillation-experimentation-integration https://www.scworld.com/brief/google-gemini-weaponized-in-state-sponsored-attacks
2A,Shivansh Sahni,Criminal AI,COINBAIT,Exploitation and Manipulation,No stable public website found; phishing infrastructure rotates across domains,Threat cluster UNC5356 / operators unknown,No public tagline found,Impersonate a cryptocurrency exchange to harvest credentials and wallet access,Crypto users and exchange customers,AI-generated phishing pages and credential theft flows,Crypto phishing and account theft,Y,Y,Y,N,N,N,Y,GTIG linked COINBAIT to an AI-generated phishing kit built with Lovable AI and used to impersonate a crypto exchange for credential harvesting.,https://cloud.google.com/blog/topics/threat-intelligence/distillation-experimentation-integration-ai-adversarial-use https://simplysecuregroup.com/google-reports-state-backed-hackers-using-gemini-ai-for-recon-and-attack-support/
4A,Shivansh Sahni,Criminal AI,LAMEHUG,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Attributed by defenders to APT28 with moderate confidence,No public tagline found,Use a cloud LLM to generate malicious commands during runtime,Government and defense-sector targets,Runtime-generated malicious commands and data-exfiltration actions,LLM-powered malware execution,Y,Y,Y,N,N,N,Y,Multiple security firms describe LAMEHUG as a malware family that offloads command generation to a remote LLM during execution.,https://www.picussecurity.com/resource/blog/lamehug-the-first-publicly-documented-case-of-a-malware-integrating-a-llm https://www.catonetworks.com/blog/cato-ctrl-threat-research-analyzing-lamehug/
4A,Shivansh Sahni,Criminal AI,MalTerminal,Cyber and Infrastructure Harm,No public product site; malware family identified by defenders,Operators unknown; sample analyzed by SentinelLABS,No public tagline found,Query GPT-4 during runtime to generate ransomware and reverse-shell logic,Compromised hosts and ransomware victims,AI-generated ransomware payloads and reverse-shell code,Ransomware acceleration,Y,Y,Y,N,N,N,Y,SentinelOne and follow-on reporting describe MalTerminal as GPT-4-powered malware capable of generating malicious logic in real time.,https://www.sentinelone.com/labs/prompts-as-code-embedded-keys-the-hunt-for-llm-enabled-malware/ https://thehackernews.com/2025/09/researchers-uncover-gpt-4-powered.html
4A,Shivansh Sahni,Criminal AI,PromptLock,Cyber and Infrastructure Harm,No public product site; malware/ransomware sample identified by defenders,Threat actor unknown,No public tagline found,Generate malicious Lua scripts at runtime to support cross-platform ransomware behavior,Windows and Linux systems,"Ransomware logic, reconnaissance, exfiltration, and encryption scripts",AI-assisted ransomware,Y,Y,Y,N,N,N,Y,Google and SentinelOne reporting identify PromptLock as AI-enabled ransomware that dynamically generates parts of its malicious workflow.,https://cloud.google.com/blog/topics/threat-intelligence/threat-actor-usage-of-ai-tools https://www.sentinelone.com/labs/prompts-as-code-embedded-keys-the-hunt-for-llm-enabled-malware/
1A,Shivansh Sahni,Criminal AI,Meliorator,Information and Perception Manipulation,No public product site; covert software used across fake social-media personas,RT affiliates / Russian state-linked operators,AI-enhanced software for foreign malign influence,Create fictitious personas and operate a bot farm to spread disinformation,Social-media users and democratic publics,"Fake personas, coordinated posts, and influence narratives",State-backed propaganda and influence operations,Y,Y,Y,N,N,N,Y,A joint cyber advisory and DOJ action describe Meliorator as covert AI-enhanced software used to generate fake personas and spread Russian disinformation.,https://www.ic3.gov/CSA/2024/240709.pdf https://www.justice.gov/archives/opa/pr/justice-department-leads-efforts-among-federal-international-and-private-sector-partners
1A,Shivansh Sahni,Criminal AI,Pravda Network,Information and Perception Manipulation,No single stable public website; distributed network of propaganda sites,Russian influence operators linked to John Mark Dougan ecosystem,No public tagline found,Flood the web with propaganda content to influence readers and contaminate AI outputs,"News consumers, model users, and downstream information systems",High-volume propaganda articles and AI-visible web content,Propaganda laundering and model poisoning,Y,Y,Y,N,N,N,Y,NewsGuard reported that the Pravda network published propaganda at industrial scale and poisoned leading AI chatbots with repeated false narratives.,https://www.newsguardtech.com/press/russias-pravda-disinformation-network-is-poisoning-western-ai-models/ https://www.newsguardtech.com/special-reports/moscow-based-global-news-network-infected-western-artificial-intelligence-russian-propaganda
1A,Shivansh Sahni,Criminal AI,Restmedia,Information and Perception Manipulation,No single stable public website; network of social accounts and cloned sites,Researchers linked the operation to pro-Kremlin influence actors,No public tagline found,Push AI-assisted propaganda targeting Moldovan politics and public opinion,Moldovan voters and online audiences,"AI-generated political content, fake reports, and social posts",Election disinformation,Y,Y,Y,N,N,N,Y,AP and CyberScoop reported that REST Media spread AI-driven disinformation in Moldova and was treated by researchers as a Russian cutout operation.,https://apnews.com/article/moldova-election-europe-disinformation-russia-461e9a1c9558ae140c5b7539a5c89fd4 https://cyberscoop.com/researchers-say-media-outlet-targeting-moldova-is-russian-cutout/
1A,Shivansh Sahni,Criminal AI,Doppelganger,Information and Perception Manipulation,No single stable public website; operates through spoofed domains and fake outlets,Russian state-linked influence actors,No public tagline found,Use AI-generated content and fake websites to impersonate trusted media outlets,"General public, voters, and news consumers","Spoofed articles, fake websites, and AI-generated propaganda content",Large-scale disinformation,Y,Y,Y,N,N,N,Y,DOJ and Cyber Command describe Doppelganger as a Russian disinformation campaign that used generative AI and spoofed domains to mimic trusted outlets.,https://www.justice.gov/archives/opa/pr/justice-department-disrupts-covert-russian-government-sponsored-foreign-malign-influence https://www.cybercom.mil/Media/News/Article/3895345/russian-disinformation-campaign-doppelgnger-unmasked-a-web-of-deception/
1A,Shivansh Sahni,Criminal AI,Operation Overload / Matryoshka,Information and Perception Manipulation,"No single stable public website; campaign spans fake media, audio, and social accounts",Russia-aligned influence operators,No public tagline found,Impersonate media and fact-checkers with AI-generated content to overwhelm verification systems,"Researchers, journalists, fact-checkers, and the public","Fake media assets, AI-generated audio, and manipulated narratives",Disinformation amplification,Y,Y,Y,N,N,N,Y,Recorded Future and ISD describe Operation Overload as a Russia-aligned campaign using fake news resources and AI-generated audio to manipulate public opinion.,https://www.recordedfuture.com/research/operation-overload-impersonates-media-influence-2024-us-election https://www.isdglobal.org/digital-dispatch/stolen-voices-russia-aligned-operation-manipulates-audio-and-images-to-impersonate-experts/
1A,Shivansh Sahni,Criminal AI,Storm-1516,Information and Perception Manipulation,"No public product site; influence operation uses fake sites, personas, and videos",Russian propagandist group tracked by Microsoft,No public tagline found,Seed AI-enhanced fake stories and videos into public discourse,"Voters, news audiences, and democratic institutions","AI-enhanced fake videos, fabricated personas, and laundered narratives",Election and geopolitical disinformation,Y,Y,Y,N,N,N,Y,"Microsoft reported that Storm-1516 used AI-enhanced deepfakes, fake personas, and multilingual disinformation to target elections and public opinion.",https://blogs.microsoft.com/on-the-issues/2024/04/17/russia-us-election-interference-deepfakes-ai/ https://blogs.microsoft.com/on-the-issues/2024/10/23/as-the-u-s-election-nears-russia-iran-and-china-step-up-influence-efforts/
4C,Shivansh Sahni,Criminal AI,Habsora / The Gospel,Surveillance and Control,No public product site,Israel Defense Forces / Unit 8200 reporting references,No public tagline found,Generate and prioritize strike targets at high speed,People and structures selected for military targeting,Target recommendations and bombing target lists,AI-assisted lethal targeting,Y,Y,Y,N,N,N,Y,"Investigations reported that Habsora, or The Gospel, was used to rapidly generate bombing targets, raising concerns about civilian harm and scale of strikes.",https://www.theguardian.com/world/2023/dec/01/the-gospel-how-israel-uses-ai-to-select-bombing-targets https://www.hrw.org/news/2024/09/10/questions-and-answers-israeli-militarys-use-digital-tools-gaza
4C,Shivansh Sahni,Criminal AI,Lavender,Surveillance and Control,No public product site,Israel Defense Forces / Unit 8200 reporting references,No public tagline found,Score and identify large numbers of people as assassination targets,People flagged by the targeting system and surrounding civilians,Target lists and risk-scored human profiles,AI-assisted lethal targeting,Y,Y,Y,N,N,N,Y,Investigative reporting described Lavender as an AI-powered target database used to identify tens of thousands of people for strikes with limited human review.,https://www.972mag.com/lavender-ai-israeli-army-gaza/ https://www.theguardian.com/world/2024/apr/03/israel-gaza-ai-database-hamas-airstrikes
4C,Shivansh Sahni,Criminal AI,Where's Daddy?,Surveillance and Control,No public product site,Israel Defense Forces reporting references,No public tagline found,Track when flagged targets return home so strikes can be timed there,"Tracked targets, family members, and neighbors",Location tracking and strike-timing alerts,AI-assisted lethal targeting and home surveillance,Y,Y,Y,N,N,N,Y,Reporting states that Where's Daddy? was used to track suspected militants to their homes so attacks could be timed when they were present.,https://www.972mag.com/israel-gaza-lavender-ai-human-agency/ https://justvision.org/press/israels-wheres-daddy-ai-system-helps-target-suspected-hamas-militants-when-theyre-home-their
,Gavin Sigua,Criminal AI,Taranis Drone,Kinetic Risk AI,https://www.baesystems.com/en/product/taranis,BAE Systems,"""an unmanned combat aircraft system advanced technology demonstrator programme""","""undertake sustained surveillance, marking targets, gathering intelligence, deterring adversaries and carrying out strikes in hostile territory""","military targets, notably those of nations sucha s the UK",data for targeted attacks,AI-assisted lethal targeting,Y,Y,Y,N,N,N,Y,The Taranis drone is a stealth weapon that is designed to deliver weapon attacks.,"https://www.abc.net.au/news/2014-02-06/taranis-drone-uk-mod-bae-systems-woomera-south-australia/5242636#:~:text=The%20Taranis%20unmanned%20drone%20in,during%20its%20first%20test%20flight, https://greydynamics.com/taranis-drone-shaping-the-uks-air-combat-future/"
,Gavin Sigua,Criminal AI,Bumblebee Drone/Khartia,Kinetic Risk AI,N/A (private government use),"unknown, but linked to an Eric Schmidt-headed company",N/A,"""a low-cost, low-collateral kinetic interceptor to defeat illicit drones at home and abroad.""","military targets, notably for use against Russia in the Ukraine war",direct destruction (by collision) of enemy drones,AI-assisted lethal targeting,Y,Y,Y,N,N,N,Y,"The bumblebee is designed to intercept, engage, and destroy (through direct collision) other aerial drones.","https://www.calibredefence.co.uk/bumblebee-drone-to-bolster-us-counter-uas-capabilities/#:~:text=The%20reporter%20watched%20the%20drones,capabilities%20to%20the%20Bumblebee%20drone:, https://www.war.gov/News/News-Stories/Article/Article/4401450/jiatf-401-announces-kinetic-counter-drone-system-enhancing-warfighter-lethality/#:~:text=The%20agreement%20was%20awarded%20Jan,essential%20for%20protecting%20our%20forces.%22"
,Gavin Sigua,Criminal AI,STM-Kargu 2,Kinetic Risk AI,https://www.stm.com.tr/en/kargu-autonomous-tactical-multi-rotor-attack-uav,Savunma Teknolojileri Mühendislik ve Ticaret A.Ş. / Defense Technologies Engineering and Trade Co AS,"means ""mountain observation tower"" in Turkish","""provide tactical ISR and precision strike capabilies for ground troops""","military targets of Türkiye, such as Syria, Libya, and maybe Azerbaijan",direct strikes on enemy targets,AI-assisted lethal targeting,Y,Y,Y,N,N,N,Y,The STM-Kargu 2 is designed to collect data for military use and aid in attacks.,"https://www.defenceturk.net/stmnin-yerli-kamikaze-ihasi-kargu-azerbaycanda-goruldu, https://autonomousweaponswatch.org/weapon/stm-kargu-2-uav"
,Gavin Sigua,Criminal AI,MQ-9 Reaper,Kinetic Risk AI,"https://www.af.mil/About-Us/Fact-Sheets/Display/Article/104470/mq-9-reaper/, https://www.ga-asi.com/remotely-piloted-aircraft/mq-9a","General Atomics Aeronautical Systems, Inc.",N/A,easy weapon configuration and high performance and reliability for a variety of customer missions,"US targets in the middle east such as in Afghanistan, Iraq, Syria, and Yemen",direct stirkes on enemy targets,AI-assisted lethal targeting,Y,Y,Y,N,N,N,Y,"The MQ-9 Reaper is designed for a variety of reconnaissance and strike missions against targets, specifically those that are time-sensitive and valuable.","https://www.facebook.com/royalairforce/posts/%EF%B8%8F-after-18-years-of-continuous-operations-the-rafs-mq-9-reaper-has-flown-its-fin/1228344319328048/, https://nationalinterest.org/blog/buzz/whats-so-great-about-mq-9-reaper-drone-hk-102625"
,Gavin Sigua,Criminal AI,SGR-A1,Kinetic Risk AI,N/A (private use),Hanhwa Aerospace (formerly Samsung Techwin) and Korea University,N/A,"""The robot can stand guard continuously and could help cope with an expected decrease in military manpower in the coming years""",Use along the DMZ by South Korea against border-crossers,shootings/killings,AI-assisted lethal targeting,Y,Y,Y,N,N,N,Y,"The SGR-A1 is designed to replace the surveillance, identification, and security functions of border guards of the DMZ.","https://www.globalsecurity.org/military/world/rok/sgr-a1.htm, https://www.lawfaremedia.org/article/foreign-policy-essay-south-korean-sentry%E2%80%94-killer-robot-prevent-war"
4C,Gavin Sigua,Criminal AI,Where's Daddy,Kinetic Risk AI,N/A (government use),Israeli Defense Forces,"""It’s much easier to bomb a family’s home.""",Looks for targets and prompts killing process when targets enter their homes,Gazans suspected to be associated with Hamas,Bombings,AI-assisted lethal targeting,Y,Y,Y,N,N,N,Y,Where’s Daddy is designed to make killings of Hamas agents easier through targeting them specifically when they’re at their house.,"https://www.businessinsider.com/israel-ai-system-wheres-daddy-strikes-hamas-family-homes-2024, https://www.hrw.org/news/2024/09/10/questions-and-answers-israeli-militarys-use-digital-tools-gaza#_What_is_%22Where%E2%80%99s, https://www.democracynow.org/2024/4/5/israel_ai"
4C,Gavin Sigua,Criminal AI,Habsora,Kinetic Risk AI,N/A (government use),Israeli Defense Forces,a “mass assassination factory”,"“kill as many Hamas operatives as possible,”",Hamas Operatives (real + suspected),Data list used by Israeli Defense Forces,AI-assisted lethal targeting,Y,Y,Y,N,N,N,Y,"Habsora, or the Gospel, is a fully autonomous AI that uses Israeli government and military data to identify potential targets.","https://www.972mag.com/mass-assassination-factory-israel-calculated-bombing-gaza/, https://www.rusi.org/explore-our-research/publications/commentary/israels-targeting-ai-how-capable-it"
1A,Gavin Sigua,Criminal AI,Pravda Network's AI,Synthetic Influence Operations,"N/A (private company use, network link is news-pravda.com)",Tiger Web,"the name Pravda translates as ""truth""",provides pro-Russian news stories,Western world public,"pro-Russian news stories, disinformation on Ukraine war",Synthetic Influence Operations,Y,Y,N,N,N,N,N,"Pravda Network utilizes its own generative AI to flood Western audiences with disinformation that promotes Russian perspectives, especially regarding the Ukraine war.","https://www.atlanticcouncil.org/blogs/new-atlanticist/exposing-pravda-how-pro-kremlin-forces-are-poisoning-ai-models-and-rewriting-wikipedia/, https://www.globsec.org/what-we-do/publications/global-offensive-mapping-sources-behind-pravda-network"
3A,Aayush Ahuja,Conversational Institutional AI,Clearview AI,Mass Surveillance / Facial Recognition,Tool Website URL: https://clearview.ai,Developer or Company: Clearview AI Inc.,Public Tagline or Claim: “The world’s largest facial recognition database.”,Stated Use Case: Helping law enforcement identify individuals using facial recognition.,Target Victim: General public whose photos are scraped from the internet.,Primary Output: Identity matches based on facial image searches.,Harm Category: Privacy invasion and mass biometric surveillance.,N,N,N,N,Y,Y,N,Clearview AI scraped billions of online photos to create a facial recognition database used by law enforcement agencies.,https://www.nytimes.com/2020/01/18/technology/clearview-privacy-facial-recognition.html
3B,Aayush Ahuja,Conversational Institutional AI,PredPol,Predictive Policing / Algorithmic Surveillance,Tool Website URL: https://www.predpol.com,Developer or Company: PredPol Inc. (later Geolitica),Public Tagline or Claim: “Predict crime before it happens.”,Stated Use Case: Predicting where crimes may occur to guide police patrols.,Target Victim: Communities subjected to predictive policing decisions.,Primary Output: Crime hotspot prediction maps.,Harm Category: Algorithmic bias and over-policing.,N,N,N,N,Y,Y,N,"PredPol analyzes historical crime data to predict crime locations, but critics argue it reinforces biased policing patterns.",https://www.rand.org/research/projects/predictive-policing.html
3C,Aayush Ahuja,Conversational Institutional AI,China Social Credit System,Social Scoring / Automated Governance,Tool Website URL: No single central system website,Developer or Company: Government of the People's Republic of China,Public Tagline or Claim: Promote “trustworthiness” in society.,Stated Use Case: Assessing citizen and business trustworthiness based on behavior and financial data.,Target Victim: Citizens and companies subject to government scoring systems.,"Primary Output: Trust scores, blacklists, and compliance records.",Harm Category: Mass surveillance and automated social governance.,N,N,N,N,Y,Y,N,"The system aggregates behavioral, financial, and legal data to produce trust scores that can affect travel, loans, and services.",https://www.brookings.edu/articles/chinas-social-credit-system/
4A,Diya Ramakrishnan,Criminal AI,DarkBERT,Cybercrime AI,https://arxiv.org/abs/2305.08596,Korea Advanced Institute of Science and Technology (KAIST) researchers,N/A (research project trained on dark web data),Model and analyze dark web and cybercriminal language and activity,"Organizations, businesses, and individuals targeted by cybercrime","Cybercrime-relevant text generation, dark web language modeling",Phishing / Fraud / Cybercrime Enablement,Y,Y,Y,N,N,N,Y,DarkBERT is an AI model trained on dark web data including hacker forums and illicit marketplaces to model and potentially enhance cybercriminal activities.,https://arxiv.org/abs/2305.08596 https://medium.com/s2wblog/part1-getting-to-know-darkbert-a-language-model-for-the-dark-side-of-the-internet-7c4c178faf3d
1B,Diya Ramakrishnan,Criminal AI,"Deepfake-as-a-Service (DFaaS) Platforms (e.g., Deepswap, Nudify services)",Synthetic Media Abuse AI,"No single central site; multiple commercial platforms (e.g., https://deepswap.ai)","Various operators, often obscured or offshore entities",Create realistic face swaps and AI-generated media instantly,"Generate face-swapped videos or images, including explicit and non-consensual content","Women, public figures, private individuals, harassment and exploitation targets","Non-consensual sexual deepfakes, impersonation videos, manipulated media",Non-consensual Sexual Deepfakes / Identity Abuse / Harassment,Y,Y,Y,N,N,N,Y,"Deepfake-as-a-service platforms enable users to create non-consensual sexual images and impersonation media at scale, with widespread documentation of harassment and exploitation cases.",https://www.washingtonpost.com/business/2026/02/25/how-scammers-are-using-ai-deepfakes-steal-money-taxpayers/ & https://www.washingtonpost.com/technology/2023/02/13/ai-porn-deepfakes-women-consent/
Not included,Diya Ramakrishnan,Criminal AI,ElevenLabs Voice AI (scam abuse cases),Synthetic Identity Fraud AI,https://elevenlabs.io/,ElevenLabs Inc.,Generate realistic AI voices and speech synthesis,Clone voices and generate realistic speech from text input,"Businesses, employees, families, and financial scam targets",Realistic cloned voice audio used in impersonation scams and fraud,Social Engineering / Fraud / Impersonation,Y,Y,Y,N,N,N,Y,"ElevenLabs’ voice cloning technology has been used in documented scams to impersonate individuals and enable fraud, including cases highlighted by the FBI and major media outlets.",https://www.fbi.gov/investigate/cyber/alerts/2025/senior-us-officials-continue-to-be-impersonated-in-malicious-messaging-campaign
